x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
404,-588,-901,686,422,578,649,640,665,-589,542,597,727,592,562
528,-643,409,605,423,415,682,-795,504,605,-692,669,-293,-554,779
-838,591,734,515,917,-361,-784,533,-524,-500,565,-823,441,611,-461
390,-675,-793,-336,658,858,-644,584,-595,-660,373,557,-714,465,-776
-537,-823,-458,95,138,22,-588,-843,648,-458,-679,-417,-743,427,-804
-485,-357,347,-476,619,847,-30,6,44,-488,449,543,-660,-479,-426
-345,-311,381,-340,-569,-846,-674,560,763,-626,468,-788,832,-632,460
-661,-816,-575,567,-361,727,500,723,-460,338,-750,-386,927,-485,-438
-876,649,763,-460,603,-452,609,671,-379,528,-832,-391,408,393,-506
-618,-824,-621,669,-402,600,-555,-800,653,562,-778,733,466,436,-512
553,345,-567,729,430,532,-675,-892,-343,-938,-730,414,110,16,151
474,580,667,-500,-761,534,697,-426,-610,543,643,-506,-258,-428,682
-447,-329,318,-322,571,750,578,704,681,-524,371,-870,-393,719,612
-584,868,-557,-466,-666,-811,493,664,-388,407,773,750,-211,-452,876
544,-627,-890,-429,-592,574,-671,-858,530,-104,29,83,808,-476,-593
564,392,-477,-355,545,-477,-667,343,800,378,-903,-323,-575,615,604
455,729,728,703,-491,-529,571,-461,-707,-778,-728,485,-485,667,467
-892,524,684,-328,-685,520,-138,-166,112,426,699,580,-680,325,-822
-689,845,-530,413,935,-424,-889,563,-600,-438,-605,-362,-627,-443,-432
423,-701,434,-391,539,-444,646,-828,498,-469,-447,-387,872,-547,-609
7,-33,-71,586,-435,557,640,759,510,509,732,623,833,512,582
630,319,-379,-364,-763,-893,-630,509,768,647,635,-688,807,604,487
443,580,662,807,-499,-711,-681,-892,-333,-868,-804,481,839,-516,451
-789,900,-551,755,-354,-619,673,-379,-804,614,-800,639,891,-625,532
459,-707,401,553,889,-390,-742,-814,-386,595,780,-596,-652,-548,-490
577,-820,562,30,-46,-14
